ZONE,Ticket_Count,MTTR,SLA_Compliance_Rate,Total_Faults,Unique_Sites,Fault_Density,Avg_NOC_Time,Avg_Field_Time
ZONE 5,9131,77.7503,79.58602562698499,9131,1059,8.622285174693106,0.08167957185151445,80.7092
ZONE 4,7952,47.44287,84.54476861167002,7952,1040,7.6461538461538465,6.727762909159651,42.595963
ZONE 2,7307,50.968636,83.8647871903654,7307,1043,7.00575263662512,0.09923086263082033,52.39204
ZONE 3,4393,32.315742,80.58274527657638,4393,666,6.596096096096096,0.11396206057752667,33.300514
ZONE 1,4306,62.582626,83.07013469577333,4306,456,9.442982456140351,15.847999095010401,49.649857
ZONE 6,3818,70.03318,80.85385018334208,3818,477,8.0041928721174,0.07199041576673866,71.82237
