SiteName,Tickets,SLA_Rate,Avg_Duration,Region,City
Region4_Unknown_d5846c08,44,0.59,54.19,Region 4,Unknown
Region3_MALABON CITY_022c0b9c,44,0.91,7.03,Region 3,MALABON CITY
Region2_Unknown_dc676086,43,0.86,3.49,Region 2,Unknown
Region3_MAKATI CITY_a9af6eda,43,0.91,6.21,Region 3,MAKATI CITY
Region3_MUNTINLUPA CITY_41199e99,43,0.74,29.81,Region 3,MUNTINLUPA CITY
Region3_MAKATI CITY_7f5889ae,42,0.86,16.39,Region 3,MAKATI CITY
Region3_MANILA CITY_9b629f22,42,0.9,20.72,Region 3,MANILA CITY
Region3_TAGUIG CITY_c8b8032e,42,0.9,23.69,Region 3,TAGUIG CITY
Region4_Unknown_59fbbd44,41,0.15,33.1,Region 4,Unknown
Region3_CALOOCAN CITY_51dff01b,41,0.93,1.45,Region 3,CALOOCAN CITY
Region3_TAGUIG CITY_c2550f91,41,0.9,10.46,Region 3,TAGUIG CITY
Region5_Unknown_5d924005,41,0.56,23.82,Region 5,Unknown
Region4_Unknown_eb228e9a,41,0.59,14.83,Region 4,Unknown
Region3_PASAY CITY_d47d9f24,41,0.95,1.64,Region 3,PASAY CITY
Region4_Unknown_4e87344a,40,0.65,62.81,Region 4,Unknown
Region4_Unknown_82c8f615,40,0.48,6.16,Region 4,Unknown
Region1_Unknown_f7b926e0,40,0.52,182.17,Region 1,Unknown
Region4_Unknown_15dc2a0b,40,0.62,22.14,Region 4,Unknown
Region2_Unknown_217e7040,40,0.55,18.88,Region 2,Unknown
Region1_Unknown_b83164b1,40,0.6,15.99,Region 1,Unknown
Region3_CALOOCAN CITY_2f023980,40,0.95,3.54,Region 3,CALOOCAN CITY
Region4_Unknown_fbad6552,40,0.22,241.06,Region 4,Unknown
